Program,School/College
Actuarial Mathematics (Sub-major of Mathematics),"College of Literature, Science, and the Arts (LSA)"
Aerospace Engineering,College of Engineering
Afroamerican and African Studies,"College of Literature, Science, and the Arts (LSA)"
American Culture,"College of Literature, Science, and the Arts (LSA)"
Anthropology,"College of Literature, Science, and the Arts (LSA)"
Applied Exercise Science,School of Kinesiology
Archaeology (Sub-major of Anthropology),"College of Literature, Science, and the Arts (LSA)"
Archaeology of the Ancient Mediterranean,"College of Literature, Science, and the Arts (LSA)"
Architecture,Taubman College of Architecture & Urban Planning
Art and Design,Stamps School of Art & Design
Arts and Ideas in the Humanities (Administered by the Residential College),"College of Literature, Science, and the Arts (LSA)"
Asian Studies,"College of Literature, Science, and the Arts (LSA)"
Astronomy and Astrophysics,"College of Literature, Science, and the Arts (LSA)"
Program,School/College
Biochemistry,"College of Literature, Science, and the Arts (LSA)"
Biological Physics (Sub-major of Biophysics),"College of Literature, Science, and the Arts (LSA)"
Biology,"College of Literature, Science, and the Arts (LSA)"
"Biology, Health, and Society","College of Literature, Science, and the Arts (LSA)"
Biomedical Engineering,College of Engineering
Biomolecular Science,"College of Literature, Science, and the Arts (LSA)"
Biophysics,"College of Literature, Science, and the Arts (LSA)"
"Biopsychology, Cognition, and Neuroscience","College of Literature, Science, and the Arts (LSA)"
Business,Ross School of Business
Program,School/College
Cellular and Molecular Biomedical Science,"College of Literature, Science, and the Arts (LSA)"
Chemical Engineering,College of Engineering
Chemistry,"College of Literature, Science, and the Arts (LSA)"
Chinese Studies (Sub-major of Asian Studies),"College of Literature, Science, and the Arts (LSA)"
Civil Engineering,College of Engineering
Classical Civilization,"College of Literature, Science, and the Arts (LSA)"
Classical Languages and Literatures,"College of Literature, Science, and the Arts (LSA)"
Climate and Meteorology,College of Engineering
Cognitive Science,"College of Literature, Science, and the Arts (LSA)"
Communication and Media,"College of Literature, Science, and the Arts (LSA)"
Community and Global Public Health,School of Public Health
Comparative Culture and Identity (Sub-major of International Studies),"College of Literature, Science, and the Arts (LSA)"
Comparative Literature,"College of Literature, Science, and the Arts (LSA)"
Composition,"School of Music, Theatre & Dance (SMTD)"
Computer Engineering,College of Engineering
Computer Science (BS),"College of Literature, Science, and the Arts (LSA)"
Computer Science (BSE),College of Engineering
Creative Writing and Literature (Administered by the Residential College),"College of Literature, Science, and the Arts (LSA)"
Culture and Media (Sub-major of Anthropology),"College of Literature, Science, and the Arts (LSA)"
Program,School/College
Dance,"School of Music, Theatre & Dance (SMTD)"
Data Science,College of Engineering
Data Science (BS),"College of Literature, Science, and the Arts (LSA)"
Dental Hygiene,School of Dentistry
Drama (Administered by the Residential College),"College of Literature, Science, and the Arts (LSA)"
Program,School/College
Earth and Environmental Sciences,"College of Literature, Science, and the Arts (LSA)"
"Ecology, Evolution, and Biodiversity","College of Literature, Science, and the Arts (LSA)"
Economics,"College of Literature, Science, and the Arts (LSA)"
Electrical Engineering,College of Engineering
Elementary Teacher Education,Marsal Family School of Education
Engineering Physics,College of Engineering
English,"College of Literature, Science, and the Arts (LSA)"
Environment,"College of Literature, Science, and the Arts (LSA)"
Environment and Conservation (Sub-major of Anthropology),"College of Literature, Science, and the Arts (LSA)"
Environmental Engineering,College of Engineering
Ethnic Studies (Sub-major of American Culture),"College of Literature, Science, and the Arts (LSA)"
Program,School/College
"Film, Television, and Media","College of Literature, Science, and the Arts (LSA)"
French and Francophone Studies,"College of Literature, Science, and the Arts (LSA)"
Program,School/College
Gender and Health,"College of Literature, Science, and the Arts (LSA)"
General Studies,"College of Literature, Science, and the Arts (LSA)"
German,"College of Literature, Science, and the Arts (LSA)"
Global Environment and Health (Sub-major of International Studies),"College of Literature, Science, and the Arts (LSA)"
Greek (Ancient) Language and Literature,"College of Literature, Science, and the Arts (LSA)"
Greek (Modern) Language and Culture,"College of Literature, Science, and the Arts (LSA)"
Program,School/College
History,"College of Literature, Science, and the Arts (LSA)"
History of Art,"College of Literature, Science, and the Arts (LSA)"
Honors Mathematics (Sub-major of Mathematics),"College of Literature, Science, and the Arts (LSA)"
"Human Origins, Biology, and Behavior","College of Literature, Science, and the Arts (LSA)"
Program,School/College
Industrial and Operations Engineering,College of Engineering
Information Analysis and Design,School of Information
Interarts Performance,Stamps School of Art & Design
Interarts Performance,"School of Music, Theatre & Dance (SMTD)"
Interdisciplinary Astronomy,"College of Literature, Science, and the Arts (LSA)"
Interdisciplinary Chemical Sciences,"College of Literature, Science, and the Arts (LSA)"
Interdisciplinary Physics,"College of Literature, Science, and the Arts (LSA)"
"International Security, Norms, and Cooperation (Sub-major of International Studies)","College of Literature, Science, and the Arts (LSA)"
International Studies,"College of Literature, Science, and the Arts (LSA)"
Italian,"College of Literature, Science, and the Arts (LSA)"
Program,School/College
Japanese Studies (Sub-major of Asian Studies),"College of Literature, Science, and the Arts (LSA)"
Jazz & Contemporary Improvisation,"School of Music, Theatre & Dance (SMTD)"
Judaic Studies,"College of Literature, Science, and the Arts (LSA)"
Program,School/College
Korean Studies (Sub-major of Asian Studies),"College of Literature, Science, and the Arts (LSA)"
Program,School/College
Latin American and Caribbean Studies,"College of Literature, Science, and the Arts (LSA)"
Latin Language and Literature,"College of Literature, Science, and the Arts (LSA)"
Latina/Latino Studies,"College of Literature, Science, and the Arts (LSA)"
"Law, Justice, and Social Change (Sub-major of Sociology)","College of Literature, Science, and the Arts (LSA)"
"Learning, Equity, and Problem Solving for the Public Good (LEAPS)",Marsal Family School of Education
Linguistics,"College of Literature, Science, and the Arts (LSA)"
Program,School/College
Materials Science and Engineering,College of Engineering
Mathematical Sciences (Sub-major of Mathematics),"College of Literature, Science, and the Arts (LSA)"
Mathematics,"College of Literature, Science, and the Arts (LSA)"
Mathematics of Finance and Risk Management (Sub-major of Mathematics),"College of Literature, Science, and the Arts (LSA)"
Mechanical Engineering,College of Engineering
Medical Anthropology (Sub-major of Anthropology),"College of Literature, Science, and the Arts (LSA)"
Microbiology,"College of Literature, Science, and the Arts (LSA)"
Middle East Studies,"College of Literature, Science, and the Arts (LSA)"
Middle Eastern and North African Studies,"College of Literature, Science, and the Arts (LSA)"
"Molecular, Cellular, and Developmental Biology","College of Literature, Science, and the Arts (LSA)"
Movement Science,School of Kinesiology
Music,"School of Music, Theatre & Dance (SMTD)"
Music Education,"School of Music, Theatre & Dance (SMTD)"
Music Theory,"School of Music, Theatre & Dance (SMTD)"
Musical Theatre,"School of Music, Theatre & Dance (SMTD)"
Musicology,"School of Music, Theatre & Dance (SMTD)"
Program,School/College
Naval Architecture and Marine Engineering,College of Engineering
Neuroscience,"College of Literature, Science, and the Arts (LSA)"
Nuclear Engineering and Radiological Sciences,College of Engineering
Nursing,School of Nursing
Program,School/College
Organ,"School of Music, Theatre & Dance (SMTD)"
Organizational Studies,"College of Literature, Science, and the Arts (LSA)"
Program,School/College
Performing Arts Technology,"School of Music, Theatre & Dance (SMTD)"
Pharmaceutical Sciences,College of Pharmacy
Philosophy,"College of Literature, Science, and the Arts (LSA)"
"Philosophy, Politics, and Economics","College of Literature, Science, and the Arts (LSA)"
Physics,"College of Literature, Science, and the Arts (LSA)"
Piano,"School of Music, Theatre & Dance (SMTD)"
Plant Biology,"College of Literature, Science, and the Arts (LSA)"
Polish,"College of Literature, Science, and the Arts (LSA)"
Political Economy and Development (Sub-major of International Studies),"College of Literature, Science, and the Arts (LSA)"
Political Science,"College of Literature, Science, and the Arts (LSA)"
"Politics, Law, and Economy (Sub-major of Anthropology)","College of Literature, Science, and the Arts (LSA)"
"Power, Identity, and Inequality (Sub-major of Anthropology)","College of Literature, Science, and the Arts (LSA)"
Psychology,"College of Literature, Science, and the Arts (LSA)"
Public Health Sciences,School of Public Health
Public Policy,Ford School of Public Policy
Pure Mathematics (Sub-major of Mathematics),"College of Literature, Science, and the Arts (LSA)"
Program,School/College
Robotics,College of Engineering
Romance Languages and Literatures,"College of Literature, Science, and the Arts (LSA)"
Russian,"College of Literature, Science, and the Arts (LSA)"
"Russian, East European, and Eurasian Studies","College of Literature, Science, and the Arts (LSA)"
Program,School/College
"Screenwriting (Sub-major of Film, Television, and Media)","College of Literature, Science, and the Arts (LSA)"
Secondary Mathematics Teaching Certificate (Sub-major of Mathematics),"College of Literature, Science, and the Arts (LSA)"
Secondary Teacher Education,Marsal Family School of Education
Social Theory and Practice (Administered by the Residential College),"College of Literature, Science, and the Arts (LSA)"
Sociology,"College of Literature, Science, and the Arts (LSA)"
Sociology and Social Work (Sub-major of Sociology),"College of Literature, Science, and the Arts (LSA)"
Sociology of Health and Medicine (Sub-major of Sociology),"College of Literature, Science, and the Arts (LSA)"
South Asian Studies (Sub-major of Asian Studies),"College of Literature, Science, and the Arts (LSA)"
Southeast Asian Studies (Sub-major of Asian Studies),"College of Literature, Science, and the Arts (LSA)"
Space Sciences and Engineering,College of Engineering
Spanish,"College of Literature, Science, and the Arts (LSA)"
Sport Management,School of Kinesiology
Statistics,"College of Literature, Science, and the Arts (LSA)"
Strings,"School of Music, Theatre & Dance (SMTD)"
Structural Biology (Sub-major of Biophysics),"College of Literature, Science, and the Arts (LSA)"
Program,School/College
Theatre & Drama,"School of Music, Theatre & Dance (SMTD)"
Program,School/College
Urban Technology,Taubman College of Architecture & Urban Planning
User Experience Design,School of Information
Program,School/College
Voice & Opera,"School of Music, Theatre & Dance (SMTD)"
Program,School/College
Winds & Percussion,"School of Music, Theatre & Dance (SMTD)"
Womenâ€™s and Gender Studies,"College of Literature, Science, and the Arts (LSA)"